ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
694
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
ITEM: ATOMS id type x y z c_pot
396 1 11.0021 11.0059 4.69945 -10.7833
2 1 1.57014 1.5731 1.56822 -10.7897
397 1 14.1524 11.0067 4.70464 -10.7812
4 1 4.71428 1.57267 1.56803 -10.7883
175 1 18.8787 9.43542 9.42522 -10.7819
6 1 7.85984 1.57271 1.56835 -10.7864
174 1 15.7547 9.4243 9.39952 -10.8058
8 1 11.0057 1.57292 1.56885 -10.7858
173 1 12.6218 9.38675 9.39753 -10.6789
10 1 14.1515 1.57313 1.56922 -10.7859
172 1 9.32962 9.3289 9.34167 -10.8361
12 1 17.2968 1.57326 1.56927 -10.7872
444 1 7.84018 11.0066 7.82783 -10.7987
14 1 20.4414 1.57325 1.56888 -10.7893
515 1 10.8066 10.9295 10.5271 -11.6196
16 1 1.56944 4.71721 1.5673 -10.7883
445 1 10.9882 10.9983 7.81495 -10.8402
18 1 4.71217 4.71534 1.56636 -10.7893
195 1 17.3156 7.85786 10.9975 -10.7799
20 1 7.85868 4.71535 1.5665 -10.7864
446 1 14.16 11.0026 7.8357 -10.7658
22 1 11.0054 4.7157 1.56694 -10.7853
186 1 11.0062 4.7142 11.0009 -10.7602
24 1 14.1518 4.71624 1.56756 -10.7856
516 1 14.2756 10.9968 10.9467 -10.844
26 1 17.2979 4.71648 1.56801 -10.7879
182 1 20.443 1.5728 11.0024 -10.786
28 1 20.4413 4.71751 1.56782 -10.7878
194 1 14.226 7.8038 10.9223 -10.8313
30 1 1.56919 7.86289 1.56705 -10.7867
193 1 10.9755 7.86121 10.9833 -10.6293
32 1 4.71158 7.86178 1.56601 -10.787
180 1 14.1533 1.57072 11.0023 -10.7834
34 1 7.85693 7.86055 1.56495 -10.7877
177 1 4.7131 1.57166 11.0022 -10.7858
36 1 11.0049 7.8608 1.56615 -10.7844
54 1 6.28717 0.00107073 3.14018 -10.7869
38 1 14.152 7.86164 1.5671 -10.7857
56 1 9.43292 0.000960412 3.14082 -10.7857
40 1 17.2979 7.8626 1.56728 -10.7857
58 1 12.5786 0.00104189 3.14129 -10.7855
42 1 20.4412 7.86311 1.56753 -10.7863
192 1 7.81677 7.81823 10.9717 -10.8216
60 1 15.724 0.00126557 3.14137 -10.786
62 1 18.869 0.00150809 3.14092 -10.788
99 1 22.013 0.00132495 6.28452 -10.7879
101 1 3.14154 0.00107381 6.28385 -10.7881
148 1 22.0135 0.00161697 9.42987 -10.7864
196 1 20.4463 7.86241 11.0019 -10.7834
50 1 22.0128 0.00159833 3.14038 -10.7895
51 1 1.56981 1.57224 4.71133 -10.7892
52 1 3.14199 0.00134682 3.13983 -10.7891
53 1 4.71311 1.57086 4.71035 -10.7889
171 1 6.25808 9.42493 9.41153 -10.7948
55 1 7.8594 1.57066 4.71084 -10.7862
170 1 3.13576 9.43519 9.42675 -10.784
57 1 11.0057 1.57088 4.7113 -10.7853
169 1 0.000134438 9.43615 9.42875 -10.7839
59 1 14.1516 1.5713 4.71163 -10.7853
168 1 18.8783 6.28588 9.42522 -10.7869
61 1 17.2973 1.57168 4.71145 -10.7871
167 1 15.7518 6.26262 9.40212 -10.8033
63 1 20.4418 1.57223 4.71135 -10.7891
64 1 22.0124 3.14464 3.13918 -10.7891
65 1 1.56836 4.71565 4.70969 -10.789
66 1 3.14036 3.14317 3.13802 -10.79
67 1 4.70851 4.71121 4.70548 -10.7924
68 1 6.28572 3.14253 3.13779 -10.7878
69 1 7.85681 4.71126 4.70603 -10.7874
70 1 9.43227 3.14275 3.13829 -10.7858
71 1 11.0051 4.71222 4.70704 -10.7853
72 1 12.5787 3.14321 3.13882 -10.7856
73 1 14.1525 4.71336 4.7077 -10.7853
74 1 15.7246 3.14371 3.13912 -10.7864
75 1 17.3001 4.71345 4.70707 -10.7897
