ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
690
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
0.0000000000000000e+00 2.2013900999999997e+01
ITEM: ATOMS id type x y z c_pot
175 1 18.8834 9.43092 9.42999 1.8265
2 1 1.57404 1.57418 1.57396 1.83243
5 1 6.2902 0.00152914 0.00249175 1.83108
4 1 4.71863 1.57491 1.57532 1.83122
174 1 15.7653 9.40037 9.39702 1.99139
6 1 7.86353 1.57469 1.57598 1.83045
173 1 12.6145 9.44972 9.44202 1.60032
8 1 11.0083 1.57363 1.57545 1.83039
172 1 9.44679 9.45094 9.44366 1.76651
10 1 14.1532 1.57259 1.57426 1.83053
171 1 6.29752 9.43876 9.43854 1.84494
12 1 17.2983 1.57221 1.57316 1.83108
170 1 3.15051 9.43799 9.43786 1.82701
14 1 20.4435 1.57287 1.57294 1.83247
15 1 0.00194201 3.14477 0.00189347 1.83264
16 1 1.57532 4.71837 1.57495 1.83141
17 1 3.14591 3.14564 0.0036634 1.83235
18 1 4.71954 4.71914 1.57761 1.83076
19 1 6.29052 3.1454 0.00536909 1.83129
20 1 7.86433 4.71924 1.5793 1.82944
21 1 9.43557 3.14443 0.00563792 1.83098
22 1 11.0088 4.71811 1.57869 1.83002
23 1 12.5808 3.14328 0.00465141 1.831
24 1 14.1539 4.71683 1.57659 1.83033
25 1 15.7262 3.14276 0.00309251 1.83135
26 1 17.2997 4.71609 1.57425 1.83139
27 1 18.8715 3.14322 0.00197997 1.83244
28 1 20.4451 4.71669 1.57323 1.83278
447 1 17.3183 11.0053 7.84828 1.84279
30 1 1.57583 7.86312 1.57469 1.83081
446 1 14.198 10.9821 7.83475 1.95188
32 1 4.72022 7.86409 1.57798 1.82929
33 1 6.29032 6.28978 0.00782757 1.83134
34 1 7.86465 7.86404 1.58056 1.82849
35 1 9.43569 6.28898 0.00886005 1.83067
36 1 11.0094 7.86336 1.58002 1.82895
37 1 12.5812 6.28779 0.00720435 1.83109
38 1 14.1544 7.86188 1.5757 1.82963
39 1 15.7272 6.28742 0.00430103 1.83112
40 1 17.3009 7.86095 1.57179 1.83124
41 1 18.8725 6.28818 0.00153496 1.83196
42 1 20.4456 7.86189 1.57216 1.8317
3 1 3.14502 0.00174265 0.00181755 1.83247
518 1 20.4449 11.0058 11.0053 1.83041
45 1 6.29068 9.43568 0.00687213 1.82965
46 1 9.43558 9.43467 0.00843216 1.82858
47 1 12.5807 9.43396 0.00506517 1.82869
48 1 15.7268 9.43351 0.00122982 1.82991
29 1 0.0026081 6.28971 0.00191582 1.83137
50 1 0.00168291 0.00245329 3.14457 1.8328
51 1 1.57474 1.5757 4.71836 1.83142
52 1 3.14573 0.00391928 3.14543 1.83272
53 1 4.71919 1.57771 4.71932 1.83091
54 1 6.29076 0.00449139 3.14614 1.83076
55 1 7.8644 1.57816 4.72031 1.82898
56 1 9.43579 0.00381604 3.14614 1.83039
57 1 11.0088 1.57687 4.71986 1.82946
58 1 12.5807 0.00264294 3.14529 1.83039
59 1 14.1534 1.57501 4.7186 1.82974
60 1 15.7257 0.00175914 3.14432 1.83069
61 1 17.299 1.57367 4.71739 1.83068
62 1 18.8711 0.00186878 3.14382 1.83206
63 1 20.4444 1.57381 4.71731 1.83196
64 1 0.00335461 3.14596 3.14585 1.83237
65 1 1.5772 4.71944 4.7193 1.83086
66 1 3.14774 3.14784 3.14777 1.83064
67 1 4.72208 4.7221 4.72226 1.82769
68 1 6.2924 3.1487 3.1494 1.82922
69 1 7.86666 4.72315 4.72403 1.82542
70 1 9.43686 3.14835 3.14981 1.82939
71 1 11.01 4.72196 4.72347 1.82798
72 1 12.5812 3.14681 3.14853 1.8297
73 1 14.1542 4.71891 4.7203 1.82818
74 1 15.7263 3.14528 3.1466 1.83026
75 1 17.301 4.71601 4.71707 1.83104
76 1 18.8723 3.14469 3.14528 1.83173
